sport,age_group,rank
Fitness/Gym,15-17,1
Walking (Recreational),15-17,2
Running/jogging,15-17,3
Swimming,15-17,4
Basketball,15-17,5
Football/soccer,15-17,6
Bush walking,15-17,7
Tennis,15-17,8
Cycling,15-17,9
Golf,15-17,10
Fitness/Gym,18-24,1
Walking (Recreational),18-24,2
Running/jogging,18-24,3
Bush walking,18-24,4
Swimming,18-24,5
Football/soccer,18-24,6
Basketball,18-24,7
Tennis,18-24,8
Cycling,18-24,9
Golf,18-24,10
Fitness/Gym,25-34,1
Walking (Recreational),25-34,2
Running/jogging,25-34,3
Bush walking,25-34,4
Swimming,25-34,5
Football/soccer,25-34,6
Cycling,25-34,7
Tennis,25-34,8
Basketball,25-34,9
Golf,25-34,10
Walking (Recreational),35-44,1
Fitness/Gym,35-44,2
Bush walking,35-44,3
Running/jogging,35-44,4
Swimming,35-44,5
Cycling,35-44,6
Football/soccer,35-44,7
Tennis,35-44,8
Basketball,35-44,9
Golf,35-44,10
Walking (Recreational),45-54,1
Fitness/Gym,45-54,2
Bush walking,45-54,3
Swimming,45-54,4
Running/jogging,45-54,5
Cycling,45-54,6
Tennis,45-54,7
Golf,45-54,8
Football/soccer,45-54,9
Basketball,45-54,10
Walking (Recreational),55-64,1
Fitness/Gym,55-64,2
Bush walking,55-64,3
Swimming,55-64,4
Cycling,55-64,5
Running/jogging,55-64,6
Golf,55-64,7
Tennis,55-64,8
Football/soccer,55-64,9
Basketball,55-64,10
Walking (Recreational),65+,1
Fitness/Gym,65+,2
Swimming,65+,3
Bush walking,65+,4
Golf,65+,5
Cycling,65+,6
Tennis,65+,7
Running/jogging,65+,8
Basketball,65+,9
Football/soccer,65+,10
