sport,total,age_15_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65plus
Walking (Recreational),50.20,30.35,34.19,41.86,47.55,58.67,66.03,55.82
Fitness/Gym,34.10,37.32,43.44,42.06,36.39,32.93,29.52,23.68
Bush walking,17.47,14.60,17.33,20.30,21.45,19.69,19.55,9.57
Running/jogging,16.53,26.57,26.65,27.66,20.85,15.77,8.46,1.84
Swimming,15.39,17.62,16.34,16.58,18.31,16.66,15.99,9.74
Cycling,8.29,6.66,5.59,7.12,9.26,11.59,11.95,5.58
Pilates,7.18,3.75,8.76,11.02,8.71,7.13,6.26,3.19
Football/soccer,5.62,17.01,12.33,9.36,6.94,3.28,0.95,0.14
Yoga,5.07,2.60,3.61,6.43,6.28,6.11,5.57,3.16
Tennis,4.94,9.45,7.48,6.48,5.28,5.27,3.29,1.92
Golf,4.56,2.38,2.76,3.54,3.40,4.83,6.89,6.09
Basketball,4.53,17.28,11.69,6.16,4.84,2.62,0.78,0.21
Cricket,2.49,8.43,4.83,3.54,2.67,1.97,0.99,0.31
Australian football,2.42,6.04,6.01,4.75,2.07,1.38,0.45,0.07
Netball,2.11,8.14,5.52,3.06,2.13,1.16,0.31,0.05
